"X","y","m","person","coin","group","total","total_category"
384,63,143,"MichelleDonzallaz","0.05EUR","marathon-PhD",143,"100-500"
385,249,489,"RietvanBork","0.05EUR","marathon-PhD",489,"100-500"
386,267,515,"RietvanBork","1CHF","marathon-PhD",515,"500-1000"
387,242,497,"RietvanBork","0.20GEL","marathon-PhD",497,"100-500"
388,167,323,"RietvanBork","0.50EUR","marathon-PhD",323,"100-500"
389,283,524,"ThomasBastelica","0.10EUR","marathon-PhD",524,"500-1000"
390,265,518,"ThomasBastelica","2EUR","marathon-PhD",518,"500-1000"
391,247,499,"ThomasBastelica","50CZK","marathon-PhD",499,"100-500"
392,279,528,"ThomasBastelica","1CHF","marathon-PhD",528,"500-1000"
393,245,483,"ThomasBastelica","1CAD","marathon-PhD",483,"100-500"
394,1317,2522,"AntonZoubek","0.50EUR","marathon-Manheim",2522,">=2000"
395,1165,2423,"AntonZoubek","5SEK","marathon-Manheim",2423,">=2000"
396,463,979,"ChrisGabrielIslam","5JPY","marathon-Manheim",979,"500-1000"
397,500,991,"ChrisGabrielIslam","2BDT","marathon-Manheim",991,"500-1000"
398,504,998,"ChrisGabrielIslam","0.10RON","marathon-Manheim",998,"500-1000"
399,463,970,"ChrisGabrielIslam","1EUR","marathon-Manheim",970,"500-1000"
400,495,1006,"ChrisGabrielIslam","5SEK","marathon-Manheim",1006,"1000-2000"
401,538,1018,"MalteZoubek","1EUR","marathon-Manheim",1018,"1000-2000"
402,492,976,"MalteZoubek","2BDT","marathon-Manheim",976,"500-1000"
403,232,490,"MalteZoubek","0.50EUR","marathon-Manheim",490,"100-500"
404,219,477,"MalteZoubek","0.20CHF","marathon-Manheim",477,"100-500"
405,750,1493,"MalteZoubek","5SEK","marathon-Manheim",1493,"1000-2000"
406,252,496,"MalteZoubek","2ILS","marathon-Manheim",496,"100-500"
407,245,493,"MalteZoubek","0.25BRL","marathon-Manheim",493,"100-500"
408,896,1914,"SaraShabani","1EUR","marathon-Manheim",1914,"1000-2000"
409,756,1474,"SaraShabani","5SEK","marathon-Manheim",1474,"1000-2000"
410,755,1505,"SaraShabani","0.25BRL","marathon-Manheim",1505,"1000-2000"
411,661,1367,"FelipeFontanaVieira","0.50EUR","internet",1367,"1000-2000"
412,297,611,"FelipeFontanaVieira","1EUR","internet",611,"500-1000"
413,1497,3008,"FelipeFontanaVieira","2EUR","internet",3008,">=2000"
414,2225,4386,"FranziskaNippold","0.50EUR","internet",4386,">=2000"
415,278,566,"FranziskaNippold","0.20EUR","internet",566,"500-1000"
416,231,500,"FranziskaNippold","2INR","internet",500,"100-500"
417,555,1116,"FrederikAust","0.50EUR","internet",1116,"1000-2000"
418,830,1674,"FrederikAust","2EUR","internet",1674,"1000-2000"
419,273,522,"FrederikAust","1EUR","internet",522,"500-1000"
420,731,1477,"FrederikAust","0.20EUR","internet",1477,"1000-2000"
421,266,504,"FrederikAust","0.10EUR","internet",504,"500-1000"
