"person","X","y","m","coin","total","total_category","category","prop"
"alexandraS",267,748,1496,"2EUR",1496,"1000-2000","marathon",0.5
"alexandraS",58,289,530,"10CZK",530,"500-1000","marathon",0.545283018867925
"alexandraS",219,2292,4257,"1MXN",4257,"2000-5000","marathon",0.538407329105004
"alexandraS",60,255,502,"0.20EUR",502,"500-1000","marathon",0.50796812749004
"alexandraS",55,249,501,"1DEM",501,"500-1000","marathon",0.497005988023952
"alexandraS",268,258,499,"1CAD",499,"100-500","marathon",0.517034068136273
"alexandraS",266,249,499,"1DEM",499,"100-500","marathon",0.498997995991984
"alexandraS",269,230,470,"10CZK",470,"100-500","marathon",0.48936170212766
"alexandraS",54,247,494,"1EUR",494,"100-500","marathon",0.5
"alexandraS",57,259,501,"1CAD",501,"500-1000","marathon",0.516966067864271
"amirS",29,752,1519,"0.50EUR",1519,"1000-2000","bachelor",0.49506254114549
"amirS",25,514,1006,"5MAD",1006,"1000-2000","bachelor",0.510934393638171
"amirS",28,495,984,"0.05NZD",984,"500-1000","bachelor",0.503048780487805
"amirS",26,762,1503,"2MAD",1503,"1000-2000","bachelor",0.506986027944112
"amirS",237,756,1497,"2MAD",1497,"1000-2000","bachelor",0.50501002004008
"amirS",27,505,1015,"1MAD",1015,"1000-2000","bachelor",0.497536945812808
"amirS",241,715,1492,"1EUR",1492,"1000-2000","bachelor",0.479222520107239
"amirS",240,715,1481,"0.50EUR",1481,"1000-2000","bachelor",0.482781904118839
"amirS",238,476,985,"1MAD",985,"500-1000","bachelor",0.483248730964467
"amirS",239,538,1027,"0.05NZD",1027,"1000-2000","bachelor",0.523855890944499
"amirS",236,502,995,"5MAD",995,"500-1000","bachelor",0.504522613065327
"amirS",30,728,1508,"1EUR",1508,"1000-2000","bachelor",0.482758620689655
"davidKL",256,3992,7544,"1SGD",7544,">5000","bachelor",0.52916224814422
"davidKL",45,3903,7456,"1SGD",7456,">5000","bachelor",0.523471030042919
"davidV",243,695,1349,"1EUR",1349,"1000-2000","bachelor",0.515196441808747
"davidV",244,815,1640,"0.05EUR",1640,"1000-2000","bachelor",0.496951219512195
"davidV",33,802,1571,"0.05EUR",1571,"1000-2000","bachelor",0.510502864417568
"davidV",245,399,823,"0.50EUR",823,"500-1000","bachelor",0.484811664641555
"davidV",246,1008,1904,"0.10EUR",1904,"1000-2000","bachelor",0.529411764705882
"davidV",242,1117,2251,"0.20EUR",2251,"2000-5000","bachelor",0.496223900488672
"davidV",32,752,1476,"1EUR",1476,"1000-2000","bachelor",0.509485094850949
"davidV",34,449,874,"0.50EUR",874,"500-1000","bachelor",0.513729977116705
"davidV",35,862,1756,"0.10EUR",1756,"1000-2000","bachelor",0.490888382687927
"davidV",31,687,1355,"0.20EUR",1355,"1000-2000","bachelor",0.507011070110701
"frantisekB",0,244,485,"20DEM-silver",485,"100-500","marathon",0.503092783505155
"frantisekB",1,260,505,"1CZK",505,"500-1000","marathon",0.514851485148515
"frantisekB",2,209,469,"5CZK",469,"100-500","marathon",0.445628997867804
"frantisekB",3,530,1021,"0.25USD",1021,"1000-2000","marathon",0.519098922624878
"frantisekB",4,533,1039,"10CZK",1039,"1000-2000","marathon",0.512993262752647
"frantisekB",5,745,1493,"0.50EUR",1493,"1000-2000","marathon",0.498995311453449
"frantisekB",6,975,1948,"1EUR",1948,"1000-2000","marathon",0.500513347022587
"frantisekB",289,274,509,"0.20EUR",509,"500-1000","marathon",0.538310412573674
"frantisekB",290,424,802,"50CZK",802,"500-1000","marathon",0.528678304239402
