Amir,1,5 MAD,Tails,xxxthxhxtxththhhthttthxhthtthxxhhttxxxxhtxxttthtxthhtxtttththtxthttthtxhththhhthhhhhhxhtxhhhhtthxththhhhhhthhttthtxhhhxhhtht
Amir,2,5 MAD,Tails,thhxxhhhxttttttthttthhttttxhthhhhthththtxhththhxtthhhtthhhxtxtthttthtththtththhhthhhtthtthhhthtxhxhxhhhxhthhhhxhh
Amir,3,5 MAD,Heads,hthhtttxtxhhttthtthxtthhhhthhhxhhhthtttxhtthtxxhxhxhhhthtthhtxhhxhhthxhhtttxhtththtthttttxhtthhhtxtthhhhthhhtxxthhhtxxh
Amir,4,5 MAD,Tails,xhxthhhhxththhttxhhhhhxxhttxhtxtttxthhxtxthhhtxhtxttthtththhththhhttthtttthttttxththhtxtthhttthhxhhhtthhtxttxttxhhthxxhxxhh
Amir,5,5 MAD,Tails,hhhhhhthhthhhhxthxtxttthtxhhhthtthxhhhththxhtxtttxhththttxxthhhxhthhthtththhtxhthtttttthhthtxttxthhthththxxthttxhtttt
Amir,6,5 MAD,Tails,hhhthtthhhhxtthttxhhtxthhthtxhtxhhtxhthtxhtxhhhhtxhthhththththxxthtxhhhhhxhtxttththhhthxththxhtttttththtxhthtthththth
Amir,7,5 MAD,Tails,tthxtxthhhxxhtthxthhthhthtttthtxhtxhhhxhhxtxhhtxttxhhhhxhhththxtxhhththtxxhhhhhtxtthhxhxthhtttttttthhtxhthxxhtxhxththtttththtt
Amir,8,5 MAD,Heads,xtxxhxhtttthhhtthtthtthxxhhhhthhxtthhhxxxhxthttxhhhhxxhttthhhxthxtxhhhhtxxhthhtxtxtttxhtxtthhhhtxhxhthxhxthhxtxhxtthhhthhhthhtttxth
Amir,9,5 MAD,Heads,xhxthttxxthxhhxthxxhxttthhhttthhhhtthtthttttxhhhhhtthhxthxxhxxthttxxtthttthhhhhhtttxththhhhhtthhxxhhthxhthxxhttththtxhthtttt
Amir,10,5 MAD,Heads,xtxthhhtxtxthxthttxhhhhtttththhtthhthhhttthtttttxxtxthxhxhhxhttttthxhtxtthhhhthxtxhtthhxhttthhhxthhhhhxhtxhthhttxhhtttthxt
Amir,11,2 MAD,Tails,tthhxxxxhhhhthtxhhhthtthxthhhthhthtthhtxtthttxhthtttttxttxthhhhxtxhhxxhhthhxxtxththxtthhxttxttthththhhhxhhtthhxttxthtthxthxhh
