Date, Coin, Start, Sequence
2023-01-08 00:12:07,1EUR,Heads,hhhhhhtththhhtttthtthtthxhhhhthxxhtttxhttthhhthtxhtthhthhhhhhhthhttthhhthhtththhththhtxhtttthhtttthxhhhthth
2023-01-08 00:22:19,1EUR,Tails,thtthhhhtthhhthttthxthhhttttthhhttththhthhthhhtttttthhhtththhhhhththttthhttththhtxhhtthhtxhxhthhhthththt
2023-01-08 10:28:32,1EUR,Heads,thhtthtxhttthththttttthththhhhthhhhhhtthxthhthhthtthhttthhhttxhhthttthhhtthhxhhhhhttthhhhttthhththhhhhhh
2023-01-08 10:37:38,1EUR,Tails,thxththhtthhhthhtthhththhhtthhhhtthtxxtthxhttthhhttthxtthhhttththhhhhhthxhhthhhhhhhttthhhthttththtttthhttt
2023-01-08 10:48:07,1EUR,Heads,tthhththttttxhthtxhththhtththhtththhhhtthhttthhtxxhhhthhtththhhxththttxhxhhhththhhtththtthhtthxtthhthhhththt
2023-01-08 13:00:03,1EUR,Heads,tththhhttttthhhttthhhthhtttxhthhhhtthhhxhhhtththttxthhhhxxxhthhthxhtthttthhtthhththtththhthhhhtttththhthtth
2023-01-08 13:08:09,1EUR,Tails,hththxhthtthhhthththtttttttttttththhhhhttthhxttthtthhhhhtthttttthhhtththhtthhthhxthttthththhhtxhxthhttthh
2023-01-08 15:04:26,5SEK,Heads,thtttttthhtttthhxhhhtttthhthhththhtthhtthhththxtttthththtttxhhhhthttthtthhhthhttxxhttththtxtthhhtthtthttht
2023-01-08 15:53:39,5SEK,Heads,hhhhhttthhhthhhttttthttthtthhhxhtthhhtthhtttttththhhhhhhhthttthtttthhthttttthtthhhxtxthhththhthtthhtttt
2023-01-08 16:05:02,5SEK,Heads,txthxhhtthtthththhhthhhttthtttthtthhhththhhtthhththththttttthttxtttttthtthxtthththttxhthhthttxxttthxhtxththtt
2023-01-08 16:14:21,5SEK,Tails,hthhthhthhhththhhthhttttthhtthththhttthhhhththhthhhhtttthhhhhhtttttthhththhhhtttttththththhthttttthh
2023-01-08 16:29:12,5SEK,Tails,tttthhththhxhhthhhthhxxthxxhtthxhhttxhttthhththhtthtttthtthhhttxthxtththtttthtthhttththththtthhhthttttthtttht
2023-01-08 17:03:24,5SEK,Heads,ttttththtttttthhthhhhthhhxhhththhthhhhhhhthxtththththhhhtxhthttxxttttthttttxxhhhhthtthhhhhttxhthtttththtxthhh
2023-01-08 17:11:31,5SEK,Tails,hhthhhthtththhhhtthhttthhththtttthhthtththhhhtttttthhhxhhthhttttthhhhhttttthttthththhttttthttthhhhhhh
2023-01-08 17:25:28,5SEK,Heads,hhttttttxhhhtthtthttthtthxtxtthhttxttththhtthhtththhththttxhhthhtthttttttttththttttthhtttthhtthhhhtttttht
2023-01-08 17:37:32,5SEK,Heads,tthththtttxhhtththhhttthhthhhhthththttthhhtttttthttttthhttthhhhhhhhhhtthththhttthhtthhhhtthhthhhhhttt
2023-01-08 17:50:37,5SEK,Tails,thhthhtthhhhhhtththttttthhhttthhhtthxtthtxhxhthhthtthhtttththhtxtthttttttxhhhthhhhtttthththhhtthhhhhtxhthh
2023-01-09 11:21:31,5SEK,Tails,xxhhtththhxthhhhhttththtxtthhhhhhhttthhthhhxhhtthhhhhthxxttthhththhxhhthhhhhhtththtttthhtthhhthhtxhxhthtthhttt
2023-01-09 11:38:00,5SEK,Heads,thhhttthxhhhhtthhhttthhhhthhxhhhhhthhhhhhhthxhhthththtthhxththhhhxhxtttthhxhthtthtthhhhhhtthhthxtthttxhtthhxth
2023-01-09 11:50:28,5SEK,Tails,hhhttthxhtthhthtthhhthhtxtthhttthththhtttththhthttthhhxhthhhthttthhhhhthttthththxhthhhhhthxhhxxhthhtthhthtt
2023-01-09 12:01:05,5SEK,Heads,hthhthttthhhhhhthtthtthhthhthhxhhtttttthxthhxhtthhtthhhtthhththtttxhhhthhtxhhhtttthhthhthtthhthhhhhthtttt
2023-01-09 12:09:52,5SEK,Heads,httthhhthththhtthtthhhhttxxhhhththttthththtttthhtthhhhtttthhtttxhhthhhtthtthtttthhhhhxhhthhhttthhtttttth
2023-01-11 16:45:55,5SEK,Heads,tthhhththhhhhtthxthhhhhhhhthhthhhhhtttthhttxthththhttttttttthtthhhhhtthhthhhhthhhhthhhhhthhhhttxhtththt
2023-01-11 16:56:34,5SEK,Heads,ththhtthhttthhhtthhhthtttthttththtttthhhhhhtthttththtthhtthhhthxhhthhthttthththhtthhhhthhhhtttxthhtxhht
2023-01-11 17:07:44,5SEK,Tails,thtthhhtxthhhhhhhtthxxhthtthhtttthhhtthhthhttttttthhhhhhthhtththhxthttthttthhtthhththtththhhthhhhhhthhtt
2023-01-11 17:16:23,5SEK,Tails,tthtthtththhthhtthhthhhxhthttthxhhtththtthhhttthhtttttttthhtthhhhxhhhtthxhttthxhxhttthhhhhhhhtxhhhhxhhthhtht
2023-01-11 17:24:27,5SEK,Heads,thtttttthtthhthtthhhhhhthhhthhhhhtththtththhttthhhthhhtthhthtthhttxthhhhhttthhthhhtthttxttthttxhtttttht
2023-01-11 18:38:33,5SEK,Heads,xthttthtxttthhhttththtttttxxxttxthhhtthththhhththtthhthhthhhhhhhttxxthtttthhtxttthttthtxthhhhhthtttthttthxhtthh
2023-01-11 18:47:02,5SEK,Tails,hhthhthhxthhhthtxhhthththhhhhxhtxhhttththhhxhhtxhthhtthhtthhhhhtttththhtttthhthtththhhhtxhxthththhhthhhhhhxhh
2023-01-11 18:55:33,5SEK,Tails,hhhhtxxhhhthtthttthhhxhththhthhhthhhhthxhhthhxhthhhtthtththhtthhhthttthhhhhttttthhhtxhxtththhhhttttttttthht
2023-01-11 19:27:12,5SEK,Tails,xthxhhtthhtthtthhththhhththxttthhthtthhthhttththhhhttttxttttttthhhhhhxttthtththtthhtxthtthhthhhhhhthhthttt
2023-01-11 21:15:01,5SEK,Heads,htxtttttthhhttthtththhhhhtthhhthhtttthththhhhthtttthhthhttttttxhttthhtxxxhthhttttthththxhhthtthhthhtththhh
2023-01-12 10:21:43,5SEK,Tails,thhhtthttththththxxxhxtththhhthttthxththhttxttthhhthxthhthhhhthtxhhthhxthhttxtththtththhhtxthhhtthhhtxhtttthhhht
2023-01-12 10:31:16,5SEK,Tails,tttxhttthxtttttttthhhhhhhhtthhhtthtththxttthhthhhxthhthhtththxtthhtthhhhthhttttttthhtttththhtthhhhhhhhhtt
2023-01-12 10:46:00,5SEK,Heads,hhhththhththtthhxtttxhttthhthtxtthxhhtthhhttxhthxhxtthhthththttxhhhtxthhttttttttthtttthththhxhtthttthtththhtht
2023-01-12 11:03:57,5SEK,Tails,hthhhthhhtthxxhththhtthtttttththththhthhtthhttththtttthttttththtthhtthtttthhthttthththhhtthhhhhhhhhhhh
2023-01-12 11:11:30,5SEK,Heads,ttthththttththththhhhtthhhxthttthhtttthhhhttthhhhhtthhhxhttthhtttthhtthtthhthhhthtxtthhhtththtthhtttxhht
2023-01-12 15:29:06,0.25BRL,Tails,ttthhhhthhtthhhhththhxttxhthhxttthhhthhhhhttthttthxhhhtthhhhtththhhthttthtttttthtthhthththtxxthxxhttthtxttttt
2023-01-12 15:43:59,0.25BRL,Tails,tthhhhhttthhxtxthhtthhtthhtththhttttthxtttxxhhttthxhhthtthhhhtththhthtthhhxhthhthhhthhhtttttxttthtttxhhxtthhtt
2023-01-12 15:54:46,0.25BRL,Tails,txhttxttthhhththhhhxxttttthhhtttttttxhhhtxthhtthhtthtththhhthhtxhtttthxtxtththhthtxxhthhhthhhtthhhtxhhhtxhhhhthht
2023-01-12 16:04:57,0.25BRL,Heads,xhthtthhthtthxhhthhhtthhtthtttttthxhtthtttthxhttthhhttttthhttthhhhthttthhtttthtthhhttttttxththhhhtthhthtt
2023-01-12 16:25:31,0.25BRL,Tails,hthxtthttttththhthhtthhhttthhththtthhththhththhhhhthtxtttthttthtthtxhhtthttthtttttthhthttthhthhttttthth
2023-01-18 21:21:05,0.25BRL,Tails,xhhthhthththhtthhthhtthhhttttthhhhttttttttthhtththtttthhtththhthtthtthhtttthhttthhhhttthhttththhhthhh
2023-01-18 21:33:30,0.25BRL,Heads,tthhxhththttthhhthtththhthhttthhhhtthxhtthtthhhtththtttttthhhhththhhtthhhhhhhthththhtthhxthhhtthhhhttht
2023-01-18 21:44:47,0.25BRL,Heads,hhhhtthhthhththththhhhtttthhhthhhtththhhhhttthhthhhthttthttttthttthtttthhhhhxhttxhhthtthhththtthttxxxhhtt
2023-01-18 21:53:35,0.25BRL,Heads,thtttthhthttththhttthtthhhthththttttxhthhhhhhthhhtthhthththtttxhtthhhthhhtxthtthtttththtttxthtthhthhthtxh
