Date, Coin, Start, Sequence
2022-12-30 00:10:39,2BDT,Tails,hthththtxthhhthtththtthhhhhthhhtttttthhhthhhhhhhhhhthhxxhhthtthhhttththttthhhthhhhhhthhtthhthttthhtthht
2022-12-30 00:19:10,2BDT,Heads,thtthhhtthtththttthhtxthhtttthhhhhhttthhhhhhtthhhtththhthtttttthhththhhhhhhhthtththttthtthththhtxhhhtt
2022-12-30 00:28:01,2BDT,Heads,thththhthhxtthxhhtttthhttthtttttttththhhhttthtthhhtttthhtttthhthtttxttthhttxtttththxhhthtttxthhxhthtttthhth
2022-12-30 00:35:53,2BDT,Heads,thhhthhtttthhthhtthtththhxhhtxthhxthhhhththhhhhthhhhtthhtthhhthtthttthhhtthhxttxhtthhhtxhtxhhhtttxhthhtxhttth
2022-12-30 07:31:14,2BDT,Heads,hhhhthxttttxttthhhtttthhhhtttthhthhtththhtthhxttttttththtttthhhxhtthhhttttthtthtthhthxhttthtthhthttttttht
2022-12-30 07:41:20,2BDT,Heads,hhhhthhhhthtthhttttxhhhhtthtthtthhttthhtthttthhthhhhthxhhthhxhttthhththxthhhthttttthththtthhhthhhhhttttt
2022-12-30 07:55:52,2BDT,Heads,hthtttthtxhhhhthhhhxthhthttththhxhxhxthhhtthhttthtttttthhhhxhthhtxhhtxxthhhhthxhtthxhxhthhthttthhttthhhhhhhhhtht
2022-12-30 08:02:57,2BDT,Heads,httxtthhthhhttthhthththhtthttxthhthtthththtthhththhthhtthhhhthhhthtthhhhthththhttthtthhhthtthhhtthttht
2022-12-30 08:17:48,0.50EUR,Tails,thhhhtththtthhhthhthtthhtthtttthhhhhttxhhhtthttththththhxhhtttttttthhxttthhxhttthtthtthhhtttththhthhhhht
2022-12-30 08:41:33,0.50EUR,Heads,ttthxttthhhhhththttththhhtttthttththtthhthhtttthhhhhtttththttthhthhhhththhhhttttttttthhthttthtththhth
2022-12-30 08:48:07,0.50EUR,Tails,hhtththhtxhhhhthhhttthtthhhthhhtttttththhhtthhhhhhhhhhxhthttthththxtththhhththhxthththhthhttthththttxhttt
2022-12-30 08:55:05,0.50EUR,Tails,tthhhhttttthththtthttxhtthhhhthttthttththhxxttththhttthhhthhhhhhhxththtthhhtthttthtthhhtthxhhhhthhttxtthtxh
2022-12-30 09:02:01,0.50EUR,Heads,htttthtththhhhhthttthxthttttthththththtthhtthtthxhthtthtthththhhxtxthxthtxhhhtxhhthttttthxtttthhthhtthhhthht
2022-12-30 09:18:24,0.50EUR,Tails,ththhthhhhttthhthhttthtthhhttttththhhhhhxtthtthhthtthhhhtthhhttthttththhhthhhtththhththhthtthtththhth
2022-12-30 11:17:37,0.20CHF,Tails,thhhhtththhhtttxthtthththththhthttthhhhtxthhhhthtthhthxhtttththhhhthxhhhxththhhhtttttxhhthhthxththxhtthtthxxht
2022-12-30 11:25:23,0.20CHF,Heads,tthttttthhtthhtthttthtttttxtthhttthttxxhthxthhthxxthhhttthhxhthhhtxtxththxxtthhhhhhxhhhtthhtxhhhthhthtxthhthhhhhtt
2022-12-30 11:33:04,0.20CHF,Heads,ttttthhtthtthhhhhhhxthhtththxxthtxtxhhhxxhththhhhttxttxhththhhxxhhththhtxhthtthtttthhhthhhtthhtxhtthhthtttthththt
2022-12-30 11:41:56,0.20CHF,Heads,thtthhththhhhthhhhhhhtthhhttthhhtxtttthtthtthtthttxthtthhxththttthtththththhthtthhthhhhttthhthhtththhtxt
2022-12-30 11:56:33,0.20CHF,Heads,hhtthhttthttthtthttthhhhhthxhhtttththtthhhththhhthtthhhhxhhxxhhhxhhttththxthhhhhxhhttthhththxhhxttthtxhhhhthht
2022-12-30 12:03:16,0.20CHF,Tails,hhttthxhtttthhhthxthhhtthttthhttthtxttttthhhthhtthtttthhtxtttthhhhthtthtthhhhththttthttttthttxhxhhxxttththht
2022-12-30 12:11:38,0.20CHF,Heads,hhhhttthhtththtttxhhhthhhhxhtthhttxxhtthhtthhhhtthhthtthhxthtthhtththhthttthtttthhthhthtttthttthhhhtxthttt
2022-12-30 12:21:51,0.20CHF,Tails,xhththhtthththththhtthhhxhthhhhthtththhttxhhthththtthhxththhhxthtthhthhtthtthhhhhttthxthththththhhttthhxtht
2022-12-30 12:29:09,0.20CHF,Heads,xttttttxhttthhttxttttxhthtthhttxtxtththhhthttthtthththhhthhtthththhhtxhhthhhxxxxxhthhxhtthxthhhthhhhttxxthhhthxthtthh
2022-12-30 12:35:44,0.20CHF,Tails,xhxxxhtthththhhhhthhtthtthhttthhhhhthhtxhhhhhthhhhtththttxtthtthhthhtxhthhthhtththhhhththhhhtthhttthttthhht
2023-01-04 20:07:36,5SEK,Heads,tthtttttthtthhhttthhhhhhxththhthtthttxththttttttthhhhtthtthhttthhththtthttxxhthhxtttxthtthhhtthhhtthtthhth
2023-01-04 20:14:51,5SEK,Heads,hhtthhhhthhtthtttttttttthxhhhhxhhthhhhthhththtthtttthhththtththhhtttxhhhhttthtthxhhhhhhxtthhthhhhthhththh
