Tails,Peso,xhhhhxthhttxthtthhxthhhtthhhthttthhthhhtthhhthhhtthhxxhthxhthhtthtththtthtxhthhhttthhtththhhhthhthtxttthxxhhttt
Heads,Peso,xtttthhthhxtttthttttthxhtthttthxthhhthhtxtththtttthhhhhtthxxxtxxththhtxhttxttttxhhtttxtthhhhttththhtttttthhthhhhht
Heads,Peso,httthtttthhxtxhthtthththhhttthttxhhtthhthtttthhhtthhttxxthhttttxtthhhtttthtttxtttthtththxhthhtthhhhtxtthhhthh
Heads,Peso,hhtxththhtthhtttthhthtthhtxtxthttttthtthttthhhthtttxthhtxthtttthhxthhhhhxhhttthhxhhhhxttthxhthhhhhhttththhhhhh
Tails,Peso,ttththhhtxttthhhhhhhxhhhhhhththhhhttthttttthxhhxhhthhhttttthththhhhhhtthhxtthhhtthhthhthtxhttthtttthttttth
Tails,Peso,ththhththtxhtttttttthhhtttttthhtthttxtxtthhhtthhxtthhhtthhtttthhhtxtxhhttttththtthtxhhthhhhttttttthhhhhhhtt
Tails,Peso,xhhxhtttxttttthhthtxhhtthhhthhhtthttttthhhthxhhthhhhtttthhhththtxhthththhththhtxxthhttthtthhxhhxhthtthhhhhhhht
Heads,Peso,hhhxtththttthhttthhhhhthhhtttttththttthhttttxhtthhhhtxtthtthtttthttththhhthttxthtttthhhhhhttttthhhththht
Heads,Peso,hthhhtttththhxhhhthhhhhhtxttthhthttttxttthhttttthhhhttttxthhhhhtthhhthtthtthhtthhhhhxhttthhhthhtxhhtttttht
Tails,Peso,thhxthtthhttttttxhtthtthththhhxhhhhxtxttxxhttttthtttthhhhhxhttttxhttthtthththhxhhhhthxttthhxhhthtxhttthhtththhhhh
Tails,Peso,hhtththttttthhtttthhhhthhxthtthhhhhttttthxttthhtxhthhhthhtthhhhhtxthttttxtttttthhxththtxtthtttttttthththhxth
Tails,Peso,ttthtttxhtthththhttthttttthhhhhxthtthttthtxhthhhhhthhhtxtthhhhhhhthttttxhtthhtxthtthhtthhhtththhhthhhhtxttt
Tails,Peso,tttthhxthtxtthhhtthhhhhtthtttthhhtthttttthtxththhthhhthhththttthhhttxthhthttththhttxththhhttthhhhxthxhhhtht
Tails,Peso,tththhtttthttttthhhhhthhtthhtttthhhxhthhhtttthhthtthhhhthhhththhhttthhhhhthtthttthxthxhtttttxhtthtttthtt
Tails,Peso,tthttttttthtthtxtttxxxtthhtxtxhhhhttttttttttxttxthhthhtttthhtttttthtththxtxhhtthtttxhhtththhhtxthttthhttthxhhxtttt
Tails,Peso,tthhhtttttxthttxhxthhttththhxhhtthhtttthhxhthhhhhtttxtthtthhtttttthtthhhthhhthhtthhhthttthhhhhxthhhhhtththh
Tails,Peso,tttthhxthtthhtthththhhhhhhtttttttththhhhthxhhxhhhtthtthhtthhthxtttthtthhhtthtthhhttthhhtxhhhxhtttthhhthttt
Heads,Peso,tthxthtththtxxttthxhthhhttttthtthtxthhttthhxhhhhtttthhthttthhthhhxhxtttthhthtttttthhthththhttttttttthhxhtthhh
Tails,Peso,tthhtttththhtthhhtthhhttthtthhhxthhhhhhtthtxthhthhthhttxhttthxthhthtxtthhthhthhhhhhtttthhhthhhthttxttthhhh
Tails,Peso,xtxhthhhhtthttttthhttthhtthhxhhhthhttxthtttxxhtthtttttthttthhthhhhthhhhttthttthththtththtttththhtxtthttthtt
